일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2020-09-09,2375.81,-26.1,-1.09,2372.53,2388.85,2369.12,946247.0,15502531.0,1615470589.0
2020-09-10,2396.48,20.67,0.87,2404.83,2406.68,2388.56,1064574.0,15782939.0,1630210829.0
2020-09-11,2396.69,0.21,0.01,2389.76,2397.56,2374.0,882880.0,12068892.0,1630532301.0
2020-09-14,2427.91,31.22,1.3,2418.33,2429.07,2410.79,963083.0,12021767.0,1652166907.0
2020-09-15,2443.58,15.67,0.65,2434.59,2444.57,2423.79,849969.0,11840594.0,1662644697.0
2020-09-16,2435.92,-7.66,-0.31,2442.72,2450.53,2429.94,772938.0,11855357.0,1657263235.0
2020-09-17,2406.17,-29.75,-1.22,2430.77,2437.02,2398.69,853740.0,14235036.0,1636916706.0
2020-09-18,2412.4,6.23,0.26,2413.53,2417.81,2396.33,756517.0,13965197.0,1640898100.0
2020-09-21,2389.39,-23.01,-0.95,2412.44,2427.17,2379.38,1041993.0,14215076.0,1625769303.0
2020-09-22,2332.59,-56.8,-2.38,2388.14,2388.49,2323.58,1051028.0,17896726.0,1587733596.0
2020-09-23,2333.24,0.65,0.03,2352.56,2354.46,2287.44,735042.0,13562935.0,1587924103.0
2020-09-24,2272.7,-60.54,-2.59,2295.62,2309.74,2268.88,714881.0,12469005.0,1547321103.0
2020-09-25,2278.79,6.09,0.27,2295.19,2296.36,2267.63,697962.0,10181604.0,1551915294.0
2020-09-28,2308.08,29.29,1.29,2301.16,2314.81,2291.32,605977.0,8971172.0,1571128314.0
2020-09-29,2327.89,19.81,0.86,2331.51,2339.83,2320.04,646218.0,9487147.0,1584465079.0
2020-10-05,2358.0,30.11,1.29,2330.55,2364.73,2327.83,763618.0,10682774.0,1604627372.0
2020-10-06,2365.9,7.9,0.34,2369.17,2378.28,2355.39,861755.0,11131424.0,1609944298.0
2020-10-07,2386.94,21.04,0.89,2350.82,2387.45,2347.82,737994.0,8971101.0,1624292282.0
2020-10-08,2391.96,5.02,0.21,2408.49,2409.01,2383.82,961726.0,12530442.0,1628133500.0
2020-10-12,2403.73,11.77,0.49,2404.18,2409.42,2393.74,843574.0,10693283.0,1636302269.0
2020-10-13,2403.15,-0.58,-0.02,2416.85,2418.89,2385.87,724920.0,10203178.0,1636705770.0
2020-10-14,2380.48,-22.67,-0.94,2403.74,2405.56,2375.54,901177.0,11018495.0,1621936204.0
2020-10-15,2361.21,-19.27,-0.81,2375.91,2376.73,2348.74,1165501.0,13029475.0,1617478082.0
2020-10-16,2341.53,-19.68,-0.83,2363.88,2370.73,2325.03,920205.0,11141460.0,1604041752.0
2020-10-19,2346.74,5.21,0.22,2352.92,2364.25,2344.77,931645.0,10490730.0,1607299316.0
2020-10-20,2358.41,11.67,0.5,2333.56,2358.41,2322.06,874293.0,11833548.0,1616230745.0
2020-10-21,2370.86,12.45,0.53,2363.03,2371.74,2356.32,812837.0,9864098.0,1624489277.0
2020-10-22,2355.05,-15.81,-0.67,2355.61,2360.22,2339.73,815612.0,9774989.0,1614311509.0
2020-10-23,2360.81,5.76,0.24,2364.84,2368.57,2344.49,890385.0,10724122.0,1618108162.0
2020-10-26,2343.91,-16.9,-0.72,2366.5,2374.5,2342.58,822268.0,11654274.0,1607185398.0
2020-10-27,2330.84,-13.07,-0.56,2328.66,2349.33,2321.23,666942.0,11269186.0,1598388910.0
2020-10-28,2345.26,14.42,0.62,2324.18,2345.46,2316.47,705770.0,8941028.0,1607471156.0
2020-10-29,2326.67,-18.59,-0.79,2312.34,2330.17,2299.91,509768.0,10357788.0,1594058109.0
2020-10-30,2267.15,-59.52,-2.56,2319.56,2320.2,2266.93,795585.0,11782118.0,1553004436.0
2020-11-02,2300.16,33.01,1.46,2276.61,2302.64,2267.95,678501.0,8514452.0,1575793150.0
2020-11-03,2343.31,43.15,1.88,2315.81,2344.77,2315.3,887445.0,10874229.0,1605475497.0
2020-11-04,2357.32,14.01,0.6,2361.32,2371.14,2339.95,986786.0,14835039.0,1614836760.0
2020-11-05,2413.79,56.47,2.4,2373.41,2413.79,2370.85,702037.0,12578752.0,1653392888.0
2020-11-06,2416.5,2.71,0.11,2421.79,2431.11,2404.97,825569.0,12579333.0,1655495907.0
2020-11-09,2447.2,30.7,1.27,2438.63,2459.15,2434.52,1354863.0,14847225.0,1676944569.0
2020-11-10,2452.83,5.63,0.23,2453.95,2457.94,2435.59,1464168.0,17981336.0,1681030953.0
2020-11-11,2485.87,33.04,1.35,2459.5,2488.04,2459.5,1272039.0,18307326.0,1703946067.0
2020-11-12,2475.62,-10.25,-0.41,2482.68,2488.79,2467.04,1278692.0,16420010.0,1698329618.0
2020-11-13,2493.87,18.25,0.74,2470.12,2495.77,2460.96,1072383.0,17043855.0,1710439788.0
2020-11-16,2543.03,49.16,1.97,2507.46,2546.37,2507.46,1239135.0,19088400.0,1744282188.0
2020-11-17,2539.15,-3.88,-0.15,2544.12,2556.09,2533.34,1267495.0,17795513.0,1742186196.0
2020-11-18,2545.64,6.49,0.26,2548.85,2553.95,2536.78,923504.0,13554048.0,1746416815.0
2020-11-19,2547.42,1.78,0.07,2536.89,2548.95,2529.53,976483.0,12515007.0,1747598155.0
2020-11-20,2553.5,6.08,0.24,2544.06,2558.21,2539.79,1129501.0,12266186.0,1752065080.0
2020-11-23,2602.59,49.09,1.92,2560.04,2605.58,2553.7,1649443.0,15763526.0,1786992048.0
2020-11-24,2617.76,15.17,0.58,2616.28,2628.52,2605.03,1364506.0,16886574.0,1797825355.0
2020-11-25,2601.54,-16.22,-0.62,2637.34,2642.26,2583.41,1410105.0,21795848.0,1786075295.0
2020-11-26,2625.91,24.37,0.94,2605.73,2625.97,2592.43,1387435.0,12714565.0,1803103425.0
2020-11-27,2633.45,7.54,0.29,2624.8,2635.0,2618.47,1196042.0,12641691.0,1808171429.0
2020-11-30,2591.34,-42.11,-1.6,2648.05,2648.66,2591.34,1311831.0,21231832.0,1779635400.0
2020-12-01,2634.25,42.91,1.66,2613.42,2638.87,2611.67,1151129.0,15947293.0,1809494578.0
2020-12-02,2675.9,41.65,1.58,2645.88,2677.26,2644.53,1076204.0,17506705.0,1838364843.0
2020-12-03,2696.22,20.32,0.76,2686.38,2696.22,2672.85,817066.0,15605054.0,1852628728.0
2020-12-04,2731.45,35.23,1.31,2705.34,2742.77,2705.34,1778897.0,19875836.0,1877444703.0
2020-12-07,2745.44,13.99,0.51,2738.11,2754.01,2711.42,1499265.0,17933012.0,1888221382.0
2020-12-08,2700.93,-44.51,-1.62,2745.13,2747.45,2700.92,1415240.0,17157199.0,1857599327.0
